school,homepage,name,areas
University of Salerno,http://www.unisa.it/docenti/giancarlonota/index?nv=docenti.unisa.it/giancarlo.nota,Giancarlo Nota,
Georgia Institute of Technology,http://rehg.org/,James M. Rehg,"[""mlmining"",""ai"",""graph"",""robotics"",""chi"",""vision""]"
Carnegie Mellon University,http://www.cs.cmu.edu/~rudich/,Steven Rudich,"[""crypt""]"
New York University,http://engineering.nyu.edu/people/john-iacono,John Iacono,"[""act""]"
University of Alberta,https://webdocs.cs.ualberta.ca/~amaral/,José Nelson Amaral,"[""ai"",""hpc"",""plan""]"
University of Notre Dame,http://www3.nd.edu/~kogge/,Peter M. Kogge,"[""hpc"",""arch"",""da""]"
University of Calgary,http://www.cpsc.ucalgary.ca/~carey,Carey Williamson,"[""chi""]"
University of Florida,https://www.cise.ufl.edu/people/faculty/gmccune,Christina Gardner-McCune,
University College London,http://www0.cs.ucl.ac.uk/staff/D.Mohamedally/,Dean Mohamedally,
Emory University,http://www.mathcs.emory.edu/~eugene/,Eugene Agichtein,"[""nlp"",""ir"",""mlmining"",""mod""]"
University of South Florida,http://cereal.forest.usf.edu/alessio/,Alessio Gaspar,
Hebrew University of Jerusalem,http://www.cs.huji.ac.il/~oabend/,Omri Abend,"[""nlp""]"
Harvard University,http://stratos.seas.harvard.edu/,Stratos Idreos,"[""ir"",""mod""]"
VU Amsterdam,http://www.cs.vu.nl/~rob/,Rob V. van Nieuwpoort,
Colorado State University,http://www.cs.colostate.edu/~whitley/,Darrell Whitley,"[""ai"",""sec""]"
Massachusetts Institute of Technology,http://mitsloan.mit.edu/faculty-and-research/faculty-directory/detail/?id=41207,Andrew Lo,
University of Toronto,http://www.cs.toronto.edu/~kyros/,Kiriakos N. Kutulakos,"[""graph"",""vision""]"
Carnegie Mellon University,https://www.cs.cmu.edu/~glmiller/,Gary L. Miller,"[""hpc"",""mlmining"",""vision"",""act""]"
TU Dresden,http://www1.inf.tu-dresden.de/~ua1/,Uwe Assmann,
Texas A&M University,http://codesign.cs.tamu.edu/people/director/,Rabi N. Mahapatra,"[""comm"",""da""]"
University College London,http://www0.cs.ucl.ac.uk/people/T.Graepel,Thore Graepel,"[""ai"",""ir"",""plan"",""mlmining""]"
University of Luxembourg,https://en.wikipedia.org/wiki/Leon_van_der_Torre,Leendert W. N. van der Torre,"[""ai""]"
University of Central Florida,http://crcv.ucf.edu/people/faculty/shah.php,Mubarak Shah,"[""ai"",""robotics"",""vision""]"
Carnegie Mellon University,https://en.wikipedia.org/wiki/Kiron_Skinner,Kiron K. Skinner,
Massachusetts Institute of Technology,http://www.google.com/search?q=Jae%20S.%20Lim%20Massachusetts%20Institute%20of%20Technology&btnI,Jae S. Lim,
University of Edinburgh,http://www.research.ed.ac.uk/portal/en/persons/michael-herrmann(cf1b7c31-3a87-4812-bf0a-05cf49b0120e).html,Michael Herrmann,
Purdue University,https://www.cs.purdue.edu/people/apm/,Aditya P. Mathur,"[""ir"",""soft""]"
Stanford University,http://cs.stanford.edu/group/manips/people/oussama-khatib/,Oussama Khatib,"[""robotics""]"
George Mason University,https://cs.gmu.edu/~dbarbara/,Daniel Barbará,"[""mlmining""]"
University of Michigan,http://web.eecs.umich.edu/~schoeneb/,Grant Schoenebeck,"[""hpc"",""ai"",""ir"",""act""]"
RWTH Aachen,http://www.vision.rwth-aachen.de/persons/,Bastian Leibe,"[""robotics"",""vision""]"
Polytechnic University of Catalonia,http://www.google.com/search?q=Manel%20Guerrero%20Zapata%20Polytechnic%20University%20of%20Catalonia&btnI,Manel Guerrero Zapata,
Ecole Normale Superieure de Lyon,http://math.nsc.ru/~puzynina/,Svetlana Puzynina,
University of California - Berkeley,http://www.cs.berkeley.edu/~jordan/,Michael I. Jordan,"[""bio"",""ir"",""nlp"",""ai"",""ops"",""robotics"",""da"",""comm"",""plan"",""act"",""mlmining"",""vision"",""mod""]"
University of Edinburgh,http://homepages.inf.ed.ac.uk/jrl/,John R. Longley,
Victoria University of Wellington,http://www.google.com/search?q=Winston%20Khoon%20Guan%20Seah%20Victoria%20University%20of%20Wellington&btnI,Winston Khoon Guan Seah,"[""chi"",""robotics"",""comm""]"
Polytechnic University of Catalonia,http://people.ac.upc.edu/felix/,Felix Freitag,
Stanford University,http://www.scs.stanford.edu/~dm/,David Mazières,"[""comm"",""sec"",""plan"",""ops""]"
Brown University,https://cs.brown.edu/people/anna/,Anna Lysyanskaya,"[""crypt"",""sec"",""act""]"
Carnegie Mellon University,http://www.cs.cmu.edu/~christos/,Christos Faloutsos,"[""bio"",""mlmining"",""ai"",""chi"",""ir"",""comm"",""vision"",""mod""]"
Northeastern University,https://www.ccis.northeastern.edu/people/jonathan-ullman/,Jonathan Ullman,"[""act"",""mod""]"
University of North Carolina,https://www.cs.unc.edu/~fabian/,Fabian Monrose,"[""metrics"",""sec"",""ops""]"
Ohio State University,http://web.cse.ohio-state.edu/~wenger/,Rephael Wenger,"[""act""]"
University of California - Irvine,http://www.ics.uci.edu/~mjcarey/,Michael J. Carey,"[""mod""]"
EPFL,https://people.epfl.ch/jean-yves.leboudec,Jean-Yves Le Boudec,"[""metrics"",""comm"",""sec"",""mobile""]"
University of Massachusetts - Lowell,http://www.google.com/search?q=Byung-Guk%20Kim%20University%20of%20Massachusetts%20-%20Lowell&btnI,Byung-Guk Kim,
Worcester Polytechnic Institute,http://www.cs.wpi.edu/~cew/,Craig E. Wills,"[""metrics"",""ir""]"
Massey University,https://www.massey.ac.nz/massey/learning/colleges/college-of-sciences/staff-list.cfm?stref=416150,Nihal P. Jayamaha,
University of British Columbia,http://www.cs.ubc.ca/~lowe/home.html,David G. Lowe,"[""robotics"",""vision""]"
University College London,https://www.researchgate.net/profile/Anna_Cox,Anna Louise Cox,"[""chi""]"
University of Queensland,http://researchers.uq.edu.au/researcher/1071,Lorna MacDonald,
Indiana University,http://www.cs.indiana.edu/~pwp/,Paul W. Purdom,
University of Oxford,https://www.cs.ox.ac.uk/niki.trigoni/,Agathoniki Trigoni,"[""comm""]"
University of Texas - Austin,https://www.cs.utexas.edu/~lili/,Lili Qiu,"[""mobile"",""metrics"",""sec"",""comm"",""ops""]"
NJIT,https://web.njit.edu/~geller/,James Geller,
Rochester Institute of Technology,https://www.cs.rit.edu/~hpb/,Hans-Peter Bischof,"[""comm""]"
Stanford University,http://www.cs.princeton.edu/~moses/,Moses Charikar,"[""ops"",""ir"",""metrics"",""comm"",""act"",""mod""]"
Washington University - St. Louis,http://www.cs.wustl.edu/~taoju/,Tao Ju,"[""graph"",""robotics"",""vision""]"
Northwestern University,http://www.ece.northwestern.edu/~rberry/,Randall A. Berry,"[""comm""]"
University of Washington,http://homes.cs.washington.edu/~shayan/,Shayan Oveis Gharan,"[""act""]"
University of Central Florida,http://www.cs.ucf.edu/~feiliu/,Fei Liu,"[""nlp""]"
Technion - Israel Institute of Technology,http://www.cs.technion.ac.il/~dang/,Dan Geiger,"[""hpc"",""bio""]"
Georgia Institute of Technology,http://c21u.gatech.edu/team/staff/demillo,Richard A. DeMillo,"[""soft""]"
University of Waterloo,https://cs.uwaterloo.ca/~alopez-o/,Alex López-Ortiz,
University of North Carolina,http://www3.cs.stonybrook.edu/~porter/,Donald E. Porter,"[""arch"",""sec"",""plan"",""ops""]"
Florida State University,http://www.cs.fsu.edu/~yuw/,Weikuan Yu,"[""hpc"",""metrics""]"
University of Colorado Boulder,http://cmci.colorado.edu/~palen/,Leysia Palen,"[""chi""]"
University of California - Berkeley,http://goldberg.berkeley.edu/,Ken Goldberg,"[""robotics"",""mod""]"
Worcester Polytechnic Institute,http://www.wpi.edu/academics/facultydir/mkh.html,Micha Hofri,
Technion - Israel Institute of Technology,http://www.cs.technion.ac.il/~biham/,Eli Biham,"[""crypt"",""act""]"
Northwestern University,http://users.eecs.northwestern.edu/~jennie/,Jennie Rogers,
University of Central Florida,http://www.cs.ucf.edu/~sumant/,Sumanta N. Pattanaik,"[""graph""]"
University of Massachusetts - Amherst,http://people.cs.umass.edu/~mcgregor/,Andrew McGregor,"[""hpc"",""mlmining"",""act"",""mod""]"
University of Georgia,http://cobweb.cs.uga.edu/~budak/,Ismailcem Budak Arpinar,"[""ir""]"
University of Florida,https://www.cise.ufl.edu/people/faculty/jgilbert,Juan E. Gilbert,
Max Planck Institute,https://www.mpi-cbg.de/research-groups/current-groups/gene-myers/research-focus/,Gene Myers,"[""bio""]"
University of Pittsburgh,http://cs.pitt.edu/~labrinid/,Alexandros Labrinidis,"[""mod""]"
University of California - San Diego,https://cseweb.ucsd.edu/~vianu/,Victor Vianu,"[""log"",""mod""]"
Texas A&M University,http://jafari.tamu.edu/rjafari/,Roozbeh Jafari,"[""da""]"
University of Queensland,http://researchers.uq.edu.au/researcher/11892,Peter O'Shea,
VU Amsterdam,http://wrvh.home.xs4all.nl/,Willem Robert van Hage,
University of Alberta,https://webdocs.cs.ualberta.ca/~mreza/,Mohammad R. Salavatipour,"[""act""]"
University of California - Los Angeles,http://cs.ucla.edu/~dyer/,Michael G. Dyer,"[""mlmining""]"
University of Oxford,http://www.cs.ox.ac.uk/people/shimon.whiteson/,Shimon Whiteson,"[""ai"",""ir"",""mlmining""]"
Duke University,https://users.cs.duke.edu/~sudeepa/,Sudeepa Roy,"[""mod""]"
University of Utah,https://www.cs.utah.edu/~rfr/,Richard F. Riesenfeld,"[""robotics""]"
Ecole Normale Superieure de Cachan,http://www.lsv.ens-cachan.fr/~schwoon/,Stefan Schwoon,"[""log""]"
Australian National University,http://users.cecs.anu.edu.au/~steveb,Steven M. Blackburn,
University of Calgary,http://contacts.ucalgary.ca/info/cpsc/profiles/102-12711,Pavol Federl,"[""graph""]"
University of Buffalo,http://www.cse.buffalo.edu/~chandola/,Varun Chandola,"[""mlmining""]"
University of Texas - Dallas,https://www.utdallas.edu/~kcooper/,Kendra M. L. Cooper,
Oregon State University,http://eecs.oregonstate.edu/~rosulekm,Mike Rosulek,"[""hpc"",""crypt"",""sec""]"
UNSW,http://www.cse.unsw.edu.au/~chak/,Manuel Chakravarty,
University of California - Santa Barbara,https://www.cs.ucsb.edu/~vigna/,Giovanni Vigna,"[""metrics"",""comm"",""ir"",""sec"",""soft""]"
Rutgers University,https://en.wikipedia.org/wiki/Endre_Szemer%C3%A9di,Endre Szemerédi,"[""act""]"
Stanford University,http://web.stanford.edu/~ouster/,John K. Ousterhout,"[""ops""]"
Virginia Tech,https://www.cs.vt.edu/user/74,Deborah Tatar,"[""chi""]"
Rice University,https://www.cs.rice.edu/~devika/,Devika Subramanian,"[""robotics""]"
Johns Hopkins University,http://www.cs.jhu.edu/~jason/,Jason Eisner,"[""nlp"",""sec"",""mlmining""]"
University of North Carolina,http://www.cs.unc.edu/~stotts/,P. David Stotts,"[""ir"",""soft""]"
University of Florida,http://www.kevinbutler.org/,Kevin R. B. Butler,"[""metrics"",""sec""]"
Cornell University,http://www-bcf.usc.edu/~avestime/Home.html,Salman Avestimehr,
University of Washington,http://www.cs.washington.edu/people/faculty/weld,Daniel S. Weld,"[""nlp"",""mlmining"",""ai"",""chi"",""ir"",""mod""]"
University of Warsaw,https://www.researchgate.net/profile/Krzysztof_Diks,Krzysztof Diks,"[""act""]"
University of Western Australia,http://staffhome.ecm.uwa.edu.au/~00014979/,Chris McDonald,
Monash University,http://monash.edu/research/explore/en/persons/david-green(b9dbf939-a5b9-4cf4-b4b0-9b7c30356f08).html,David G. Green,
EPFL,http://icapeople.epfl.ch/grossglauser/,Matthias Grossglauser,"[""metrics"",""mlmining"",""comm"",""mod""]"
Texas A&M University,https://engineering.tamu.edu/cse/people/vtaylor,Valerie E. Taylor,"[""hpc""]"
University of Delaware,https://www.eecis.udel.edu/~atlas/,James Atlas,
University of Kansas,http://www.google.com/search?q=Rongqing%20Hui%20University%20of%20Kansas&btnI,Rongqing Hui,
University of Colorado Boulder,http://www.cs.colorado.edu/~martin/,James H. Martin,"[""nlp""]"
University of British Columbia,https://en.wikipedia.org/wiki/Arvind_Gupta_(academic),Arvind Gupta,"[""ai""]"
University of Sydney,http://www.google.com/search?q=Simon%20K.%20Poon%20University%20of%20Sydney&btnI,Simon K. Poon,
University of Oxford,https://www.cs.ox.ac.uk/people/ursula.martin/,Ursula Martin,
University of Miami,http://www.math.miami.edu/~hk/,Hüseyin Koçak,
University of Queensland,http://researchers.uq.edu.au/researcher/83,Tapan Kumar Saha,
University of Southern California,http://gridsec.usc.edu/Hwang.html,Kai Hwang 0001,"[""hpc""]"
University of Bristol,http://www.cs.bris.ac.uk/~simonm/,Simon McIntosh-Smith,
University of Maryland - College Park,https://www.cs.umd.edu/~djacobs/,David Jacobs,"[""chi"",""vision"",""mlmining""]"
Rochester Institute of Technology,http://www.google.com/search?q=Adrienne%20Decker%20Rochester%20Institute%20of%20Technology&btnI,Adrienne Decker,
University College London,https://iris.ucl.ac.uk/iris/browse/profile?upi=NJLAN31,Nick Lane,
University of Tartu,http://sep.cs.ut.ee/,Dietmar Pfahl,
Ecole Normale Superieure de Lyon,http://perso.ens-lyon.fr/christophe.alias/,Christophe Alias,
Rochester Institute of Technology,http://ist.rit.edu/~rpv/,Ronald Vullo,
Northeastern University,http://www.ccs.neu.edu/home/pete/,Pete Manolios,
University of Kentucky,https://www.cs.uky.edu/~marek/,Victor W. Marek,"[""ai""]"
UNSW,http://www.cse.unsw.edu.au/~tw/,Toby Walsh,"[""ai"",""mlmining""]"
University of Illinois at Urbana-Champaign,http://jeffe.cs.illinois.edu/,Jeff Erickson,"[""robotics"",""act"",""mod""]"
University of Nebraska,http://cse.unl.edu/~dwyer/,Matthew B. Dwyer,"[""hpc"",""robotics"",""soft""]"
University of Calgary,http://www.cpsc.ucalgary.ca/~zongpeng,Zongpeng Li,"[""mobile"",""metrics"",""comm""]"
University of Queensland,http://staff.itee.uq.edu.au/smith/,Graeme Smith,
University of Waterloo,https://cs.uwaterloo.ca/~mkarsten/,Martin Karsten,"[""metrics"",""comm""]"
University of Otago,https://en.wikipedia.org/wiki/Michael_H._Albert,Michael Henry Albert,
University of California - Berkeley,http://www.paulos.net/bio.html,Eric Paulos,"[""chi"",""robotics""]"
Brown University,http://cs.brown.edu/~avd/,Andy van Dam,
Carnegie Mellon University,http://www.cs.cmu.edu/~ebrun/,Emma Brunskill,"[""ai"",""chi"",""robotics"",""mlmining""]"
University of California - Davis,http://www.cs.ucdavis.edu/~franklin/,Matthew K. Franklin,"[""crypt"",""sec""]"
Ohio State University,http://web.cse.ohio-state.edu/~tasos/,Anastasios Sidiropoulos,"[""hpc"",""act""]"
Texas A&M University,http://faculty.cse.tamu.edu/ejkim/,Eun Jung Kim 0001,"[""arch"",""da""]"
University of British Columbia,http://www.cs.ubc.ca/~rxg/,Ronald Garcia,"[""plan""]"
University of Utah,http://www.google.com/search?q=Kenneth%20S.%20Stevens%20University%20of%20Utah&btnI,Kenneth S. Stevens,"[""da""]"
University of California - Los Angeles,http://www.google.com/search?q=Joseph%20J.%20DiStefano%20III%20University%20of%20California%20-%20Los%20Angeles&btnI,Joseph J. DiStefano III,
Rochester Institute of Technology,http://www.google.com/search?q=Bill%20Stackpole%20Rochester%20Institute%20of%20Technology&btnI,Bill Stackpole,
Northeastern University,http://www.ccs.neu.edu/home/jaa/,Javed A. Aslam,"[""mobile"",""ir"",""robotics"",""mlmining""]"
University of Illinois at Urbana-Champaign,http://hanj.cs.illinois.edu/,Jiawei Han,"[""nlp"",""mlmining"",""mobile"",""chi"",""ir"",""ai"",""soft"",""vision"",""mod""]"
Georgia Institute of Technology,http://www.cc.gatech.edu/~mustaq/,Mustaque Ahamad,"[""ir"",""sec"",""ops""]"
Massey University,http://www.massey.ac.nz/massey/expertise/profile.cfm?stref=265530,Subhas Mukhopadhyay,
University of Pennsylvania,http://www.cis.upenn.edu/~mkearns/,Michael Kearns,"[""hpc"",""ai"",""mlmining"",""act""]"
Michigan State University,http://www.cse.msu.edu/~rossarun/,Arun Abraham Ross,
Ecole Normale Superieure de Lyon,http://graal.ens-lyon.fr/~lmarchal/,Loris Marchal,"[""hpc""]"
Purdue University,https://www.cs.purdue.edu/homes/comer/,Douglas E. Comer,
Dartmouth College,http://bregman.dartmouth.edu/~mcasey,Michael A. Casey,
University of Utah,http://www.cs.utah.edu/~jmh/,John M. Hollerbach,"[""robotics"",""vision""]"
University of Massachusetts - Amherst,https://www.cics.umass.edu/~jensen,David Jensen,
UNSW,https://sites.google.com/site/boualembenatallahwebsite/,Boualem Benatallah,"[""ir"",""soft""]"
Kansas State University,https://www.cs.ksu.edu/user/301,Masaaki Mizuno,
Polytechnic University of Catalonia,http://www.google.com/search?q=Esther%20Salami%20San%20Juan%20Polytechnic%20University%20of%20Catalonia&btnI,Esther Salami San Juan,
Imperial College London,https://www.doc.ic.ac.uk/~cristic/,Cristian Cadar,"[""soft"",""sec"",""log"",""arch"",""ops""]"
Auburn University,http://www.eng.auburn.edu/~yilmaz/,Levent Yilmaz,
University of Western Australia,http://www.google.com/search?q=Wei%20Liu%200006%20University%20of%20Western%20Australia&btnI,Wei Liu 0006,
University of Athens,https://www.researchgate.net/profile/Panos_Rondogiannis,Panos Rondogiannis,
Rensselaer Polytechnic Institute,https://www.ecse.rpi.edu/Homepages/wrf/pmwiki/,Wm. Randolph Franklin,
University of Waterloo,http://the.gregor.institute/,Gregor Richards,"[""plan""]"
University of Oxford,http://www.cs.ox.ac.uk/james.worrell/,James Worrell,"[""log"",""act""]"
University of California - Berkeley,https://www.eecs.berkeley.edu/Faculty/Homepages/bajcsy.html,Ruzena Bajcsy,"[""mobile"",""robotics"",""vision""]"
Rutgers University,http://www.pracsyslab.org/bekris,Kostas E. Bekris,"[""mobile"",""ai"",""robotics"",""vision"",""chi""]"
University of Delaware,http://www.google.com/search?q=Christopher%20Rasmussen%20University%20of%20Delaware&btnI,Christopher Rasmussen,"[""robotics"",""vision""]"
Polytechnic University of Catalonia,https://www.researchgate.net/profile/Cristina_Barrado,Cristina Barrado,
Simon Fraser University,http://www.cs.sfu.ca/~petra,Petra Berenbrink,"[""act""]"
University of Utah,http://www.cs.utah.edu/~mhall/,Mary W. Hall,"[""hpc"",""arch"",""plan"",""da""]"
OHSU,http://www.google.com/search?q=Meysam%20Asgari%20OHSU&btnI,Meysam Asgari,
University of Bristol,http://www.cs.bris.ac.uk/~kovacs/,Tim Kovacs,
University of Nebraska,http://cse.unl.edu/~bduncan/,Brittany A. Duncan,"[""robotics""]"
University of Auckland,http://www.tcs.auckland.ac.nz/~ulrich/,Ulrich Speidel,
University of Southern California,http://ceng.usc.edu/~raghu/,Cauligi S. Raghavendra,"[""comm""]"
Columbia University,http://www.cs.columbia.edu/~angelos/,Angelos D. Keromytis,"[""comm"",""sec"",""arch"",""ops""]"
CUNY,http://www.cs.qc.cuny.edu/xiang.html,Zhigang Xiang,
University of Kentucky,http://www.cs.uky.edu/~cheng/,Fuhua (Frank) Cheng,
University of Central Florida,http://www.sumitkumarjha.com/,Sumit Kumar Jha,
NJIT,http://www.google.com/search?q=James%20McHugh%20NJIT&btnI,James McHugh,
Imperial College London,https://www.doc.ic.ac.uk/~yoshida/,Nobuko Yoshida,"[""plan"",""log""]"
Stony Brook University,http://seclab.cs.sunysb.edu/sekar/,R. Sekar,"[""arch"",""sec"",""soft"",""ops""]"
Columbia University,http://www.cs.columbia.edu/~luca/,Luca P. Carloni,"[""hpc"",""ir"",""da""]"
Stony Brook University,http://www3.cs.stonybrook.edu/~gu/,Xianfeng David Gu,"[""comm"",""vision""]"
Massachusetts Institute of Technology,https://asu.mit.edu/,Asuman E. Ozdaglar,"[""comm"",""mlmining""]"
University of Bristol,http://www.bris.ac.uk/engineering/people/theo-tryfonas/index.html,Theodore Tryfonas,
University of California - Berkeley,http://www.cs.berkeley.edu/~kubitron,John Kubiatowicz,"[""ops"",""da"",""comm"",""hpc"",""sec"",""arch""]"
University of Buffalo,https://www.cse.buffalo.edu/faculty/bharat/,Bharat Jayaraman,
University of Wisconsin - Madison,http://pages.cs.wisc.edu/~swright/,Stephen J. Wright,"[""hpc"",""comm"",""mlmining""]"
Rutgers University,https://www.cs.rutgers.edu/~tdnguyen/,Thu Duc Nguyen,
University College London,http://www0.cs.ucl.ac.uk/staff/Zhaoping.Li/,Zhaoping Li,"[""mlmining""]"
College of William and Mary,http://www.cs.wm.edu/~ppeers/,Pieter Peers,"[""graph"",""vision""]"
Tel Aviv University,http://www.cs.tau.ac.il/~rshamir/,Ron Shamir,"[""bio""]"
University of Washington,https://sensor.cs.washington.edu/jrs.html,Joshua R. Smith,"[""comm"",""chi"",""robotics"",""sec"",""ops""]"
CUNY,http://www.sci.brooklyn.cuny.edu/~levitan/,Rivka Levitan,"[""nlp""]"
Florida State University,http://www.cs.fsu.edu/~burmeste/,Mike Burmester,
University of Colorado Boulder,https://www.cs.colorado.edu/~srirams/,Sriram Sankaranarayanan,"[""da"",""robotics"",""soft"",""plan"",""log""]"
University of California - San Diego,http://jacobsschool.ucsd.edu/faculty/faculty_bios/index.sfe?fmp_recid=199,Ingolf Krueger,
Massachusetts Institute of Technology,http://www.tamarabroderick.com/,Tamara Broderick,"[""mlmining""]"
University of California - Santa Barbara,http://www.cs.ucsb.edu/~bultan/,Tevfik Bultan,"[""ir"",""soft"",""plan"",""log""]"
University of Tartu,https://www.researchgate.net/profile/Fredrik_Milani,Fredrik Milani,
University of Bristol,http://www.bristol.ac.uk/engineering/people/mike-c-fraser/index.html,Mike Fraser,"[""chi""]"
TU Dresden,http://www.computational-logic.org/~sh/,Steffen Hölldobler,"[""ai""]"
Harvard University,https://www.seas.harvard.edu/directory/waldo,Jim Waldo,
University of Connecticut,http://www.engr.uconn.edu/~mok11002/public_html/,Mohammad Khan,
CUNY,http://www.csi.cuny.edu/faculty/school_of_business/CHUN_SOON.html,Soon Ae Chun,"[""sec""]"
University of Central Florida,http://www.cs.ucf.edu/~ceh/,Charlie E. Hughes,
Ecole Normale Superieure de Cachan,http://lsv.fr/~dowek/,Gilles Dowek,
University of Salerno,http://www.unisa.it/docenti/andreadelucia/english/index,Andrea De Lucia,"[""soft""]"
University of Melbourne,http://www.cis.unimelb.edu.au/people/staff.php?person_ID=304961,Jan Schröder,
Polytechnic University of Catalonia,http://engineering.academickeys.com/browse_whoswho_by_institution/Polytechnic_University_of_Catalonia?&start=74,Juan Carlos Cruellas,
University of California - Santa Cruz,https://users.soe.ucsc.edu/~tan/,Wang Chiew Tan,"[""ir"",""mod""]"
Stanford University,http://stanford.edu/~nickm/,Nick McKeown,"[""metrics"",""chi"",""sec"",""comm"",""ops""]"
University of British Columbia,https://www.cs.ubc.ca/~ascher/,Uri M. Ascher,"[""graph"",""robotics""]"
University of Southern California,http://ceng.usc.edu/~prasanna/,Viktor K. Prasanna,"[""hpc"",""ai"",""ir"",""comm""]"
OHSU,http://www.google.com/search?q=Jill%20Dolata%20OHSU&btnI,Jill Dolata,
Northeastern University,http://www.ccs.neu.edu/home/rraj/,Rajmohan Rajaraman,"[""crypt"",""comm"",""act""]"
Hebrew University of Jerusalem,http://www.cs.huji.ac.il/~yair/,Yair Bartal,"[""act""]"
Brown University,https://cs.brown.edu/~twd/,Thomas W. Doeppner Jr.,"[""sec""]"
University of Kent,https://www.cs.kent.ac.uk/people/staff/mk451/,Michael Kampouridis,
Georgia Institute of Technology,http://www.cc.gatech.edu/home/guzdial/,Mark J. Guzdial,
Concordia University,http://www.google.com/search?q=Javad%20Sadri%20Concordia%20University&btnI,Javad Sadri,
Stony Brook University,https://www.cs.stonybrook.edu/people/faculty/RaduSion,Radu Sion,"[""hpc"",""sec"",""mod""]"
University of Edinburgh,https://www.inf.ed.ac.uk/people/staff/Andrew_Gordon.html,Andrew C. Gordon,
University of Pennsylvania,http://www.cis.upenn.edu/~stevez/,Steve Zdancewic,"[""arch"",""ops"",""sec"",""plan"",""log""]"
Stony Brook University,http://www3.cs.stonybrook.edu/~gu/,Xianfeng Gu,"[""graph"",""comm"",""vision""]"
University of Auckland,https://www.cs.auckland.ac.nz/~yunsing/,Yun Sing Koh,
TU Munich,http://www.google.com/search?q=Jorge%20Curiel-Esparza%20TU%20Munich&btnI,Jorge Curiel-Esparza,
McGill University,http://www.cs.mcgill.ca/people/faculty/profile,Nathan Friedman,
Northwestern University,http://www.mccormick.northwestern.edu/research-faculty/directory/profiles/katsaggelos-aggelos.html,Aggelos K. Katsaggelos,"[""vision""]"
Brigham Young University,http://www.google.com/search?q=Jacob%20William%20Crandall%20Brigham%20Young%20University&btnI,Jacob William Crandall,"[""ai""]"
NJIT,http://www.google.com/search?q=Guiling%20Wang%20NJIT&btnI,Guiling Wang,"[""ir"",""comm""]"
University of California - San Diego,https://cseweb.ucsd.edu/~mihir/,Mihir Bellare,"[""crypt"",""sec""]"
Ohio State University,https://cse.osu.edu/people/roman.45,Nicoleta Roman,"[""mlmining""]"
Hebrew University of Jerusalem,http://www.cs.huji.ac.il/~jeff/,Jeffrey S. Rosenschein,"[""ai"",""act""]"
University of California - Irvine,http://emj.ics.uci.edu/,Eric Mjolsness,"[""vision"",""mlmining""]"
University of Kent,https://www.cs.kent.ac.uk/~jec/,Janet Carter,
University of California - Santa Cruz,https://www.soe.ucsc.edu/departments/computer-science/people/faculty,Ashutosh Raina,
Princeton University,http://www.cs.princeton.edu/~li/,Kai Li,"[""ir"",""ops"",""robotics"",""da"",""metrics"",""comm"",""plan"",""hpc"",""vision"",""mod""]"
University of Minnesota,http://konstan.umn.edu/,Joe Konstan,
CUNY,http://www.google.com/search?q=Louis%20Petingi%20CUNY&btnI,Louis Petingi,
University of Colorado Boulder,http://www.cs.colorado.edu/~rafr5066/,Rafael M. Frongillo,"[""ai"",""mlmining"",""act""]"
University of California - Davis,http://faculty.engineering.ucdavis.edu/gygi/,François Gygi,"[""hpc""]"
University of Cambridge,http://www.cl.cam.ac.uk/~jgd1000/,John G. Daugman,
University of Salerno,http://www.unisa.it/docenti/filomenaferrucci/index?nv=docenti.unisa.it/filomena.ferrucci,Filomena Ferrucci,"[""ir"",""soft""]"
University of California - Riverside,http://www.cs.ucr.edu/~craigs/,Craig Schroeder,"[""graph""]"
Massachusetts Institute of Technology,https://billf.mit.edu/,William T. Freeman,"[""graph"",""mlmining"",""vision"",""act""]"
Technion - Israel Institute of Technology,http://hagit.net.technion.ac.il/,Hagit Attiya,"[""plan"",""act""]"
Dartmouth College,http://web.cs.dartmouth.edu/people/lorie-loeb,Lorie Loeb,"[""graph""]"
TU Darmstadt,http://www.ke.tu-darmstadt.de/staff/juffi,Johannes Fürnkranz,"[""ai"",""mlmining""]"
Carnegie Mellon University,http://www.cs.cmu.edu/~nsp/,Nancy S. Pollard,"[""graph"",""robotics"",""mlmining""]"
University of Southern California,http://www-robotics.usc.edu/~maja/,Maja J. Mataric,"[""robotics"",""vision"",""mlmining""]"
University of Oxford,http://www.cs.ox.ac.uk/people/kasper.rasmussen/,Kasper Bonne Rasmussen,"[""mobile"",""soft"",""sec"",""da""]"
Stanford University,https://cs.stanford.edu/people/jure/,Jure Leskovec,"[""nlp"",""mlmining"",""ai"",""chi"",""ir"",""comm"",""vision"",""mod""]"
University of Oxford,http://www.cs.ox.ac.uk/people/samuel.staton/main.html,Sam Staton,"[""plan"",""log""]"
University of Delaware,https://www.eecis.udel.edu/~shatkay/,Hagit Shatkay,"[""bio""]"
University of Rochester,http://www.cs.rochester.edu/~sandhya/,Sandhya Dwarkadas,"[""ops"",""ir"",""metrics"",""comm"",""hpc"",""arch""]"
University of Melbourne,http://people.eng.unimelb.edu.au/adrianrp/,Adrian R. Pearce,"[""ai""]"
Colorado State University,http://www.cs.colostate.edu/~svr/,Sanjay Rajopadhye,
University of Oxford,http://www.cs.ox.ac.uk/bob.coecke/,Bob Coecke,"[""log""]"
